zip,vio_count
10001.0,2492
10002.0,8872
10003.0,7748
10004.0,94
10005.0,154
10006.0,210
10007.0,383
10009.0,7921
10010.0,1935
10011.0,6198
10012.0,4183
10013.0,4256
10014.0,5209
10016.0,4248
10017.0,815
10018.0,1374
10019.0,5501
10021.0,3283
10022.0,2804
10023.0,4098
10024.0,7444
10025.0,13149
10026.0,13544
10027.0,20050
10028.0,4216
10029.0,14553
10030.0,14962
10031.0,32210
10032.0,28597
10033.0,20226
10034.0,15342
10035.0,12908
10036.0,5272
10037.0,4514
10038.0,790
10039.0,12466
10040.0,15190
10044.0,158
10065.0,2730
10069.0,23
10075.0,2305
10128.0,4698
10280.0,19
10282.0,105
10301.0,5087
10302.0,2259
10303.0,3216
10304.0,6507
10305.0,1579
10306.0,1662
10307.0,213
10308.0,360
10309.0,411
10310.0,1697
10312.0,628
10314.0,2210
10451.0,15524
10452.0,39705
10453.0,34583
10454.0,12093
10455.0,14655
10456.0,39631
10457.0,42787
10458.0,41933
10459.0,21644
10460.0,26907
10461.0,10671
10462.0,19415
10463.0,14996
10464.0,649
10465.0,3463
10466.0,19986
10467.0,42439
10468.0,33951
10469.0,12188
10470.0,4512
10471.0,1517
10472.0,27551
10473.0,7722
10474.0,8374
10475.0,3056
11001.0,59
11004.0,143
11005.0,6
11040.0,8
11101.0,3484
11102.0,5615
11103.0,6384
11104.0,4589
11105.0,6007
11106.0,5473
11109.0,3
11201.0,6359
11203.0,29835
11204.0,14367
11205.0,8822
11206.0,16618
11207.0,33041
11208.0,26599
11209.0,12476
11210.0,18001
11211.0,18804
11212.0,34872
11213.0,36314
11214.0,14156
11215.0,15878
11216.0,29538
11217.0,9358
11218.0,15140
11219.0,17569
11220.0,20864
11221.0,30985
11222.0,11117
11223.0,12063
11224.0,6375
11225.0,29087
11226.0,61581
11228.0,4549
11229.0,8377
11230.0,18231
11231.0,9623
11232.0,6671
11233.0,31149
11234.0,5749
11235.0,11487
11236.0,11134
11237.0,20302
11238.0,19106
11239.0,1500
11354.0,5000
11355.0,7940
11356.0,2318
11357.0,674
11358.0,2425
11360.0,615
11361.0,1353
11362.0,392
11363.0,145
11364.0,1208
11365.0,2447
11366.0,530
11367.0,3239
11368.0,15978
11369.0,3352
11370.0,2284
11372.0,9175
11373.0,12196
11374.0,3093
11375.0,4157
11377.0,9550
11378.0,2960
11379.0,3150
11385.0,20796
11411.0,733
11412.0,2911
11413.0,2502
11414.0,2035
11415.0,2355
11416.0,3526
11417.0,2463
11418.0,4194
11419.0,4016
11420.0,3426
11421.0,3178
11422.0,1561
11423.0,2600
11426.0,337
11427.0,1072
11428.0,833
11429.0,1613
11430.0,6
11432.0,8214
11433.0,6046
11434.0,5241
11435.0,6597
11436.0,1542
11691.0,14142
11692.0,4860
11693.0,995
11694.0,2699
11697.0,3
